title,url,date,imageurl,description,autokwd,company,screenshot,tag,platform
SUPER ROBOT WARS Y,https://store.playstation.com/ko-kr/concept/10007610,2025-08-28,https://image.api.playstation.com/vulcan/ap/rnd/202504/0308/588154abbf2a40fdae9f2915b7a4588902806fc3f9a0abc0.jpg?w=1920,"[예약 특전]
・「사이바스터」, 「뱅 넥스」, 「그란 뱅」을 입수할 수 있는 미션 2종
・특전 미션 「스페셜 스타터 팩」

※내용 및 사양은 예고 없이 일부 변경될 수 있습니다.
※특전은 전부 게임 내 콘텐츠로 반영됩니다.
(일부 특전은 「미션」으로 제공됩니다)
※특전은 추후 별도로 판매될 수 있습니다.
※다운로드 버전 예약 구매 특전은 예약하신 고객에게만 제공됩니다.


※본 상품은 「일반판」입니다. 그 밖에도 「디지털 디럭스 에디션」, 「디지털 얼티밋 에디션」을 별도로 판매 중이므로 중복 구매에 주의하십시오.

눈 앞의 파멸과 몰려오는 재앙―

숙명을 넘어서라, 강철의 수호자!

슈퍼로봇대전은 다양한 애니메이션에 등장한 로봇들이 작품의 장벽을 넘어 한자리에 모여 공통의 적과 싸우는 시뮬레이션 RPG 시리즈입니다.

최신작인 『슈퍼로봇대전 Y』에서는
「SSSS.DYNAZENON」, 「고질라: 싱귤러 포인트」, 「기동전사 건담 수성의 마녀」 시즌 1이 슈퍼로봇대전 시리즈에 첫 등장.
그리고 「극장판 마크로스 Δ 격정의 왈큐레」, 「겟타 로보 아크」가 거치용 시리즈에서는 처음으로 모습을 드러냅니다.
추가로 「용자 라이딘」, 「초전자로보 컴배틀러 V」, 「성전사단바인」 등의 역사 깊은 작품부터
「은하기공대 마제스틱 프린스」, 「코드 기아스 부활의 를르슈」 등 폭넓은 세대의 지지를 받는 작품을 수록하였습니다.

지금까지의 시리즈를 즐겨본 적이 없는 분들도 플레이하실 수 있도록
다양한 참전 작품들이 독자적인 세계관 속에서 크로스오버하는 오리지널 시나리오가 전개됩니다.

거기에 히로인이나 서브 캐릭터처럼 직접 전투에 참가하지 않는 캐릭터도 활약, 성장할 수 있는 「어시스트 링크」 시스템이라는 새로운 요소도 추가하였습니다.

【참전 작품 목록】
용자 라이딘
초전자로보 컴배틀러 V
성전사단바인
성전사단바인 New Story of AURA BATTLER Dunbine
중전기 엘가임
기동전사 Z건담
기동전사 건담 역습의 샤아
M-MSV
기동무투전 G건담
신기동전기 건담 W Endless Waltz
기동전사 건담 SEED DESTINY
기동전사 건담 수성의 마녀 시즌 1
마징카이저 사투! 암흑대장군
겟타 로보 아크
은하기공대 마제스틱 프린스
마크로스 Δ
극장판 마크로스 Δ 격정의 왈큐레
코드 기아스 반역의 를르슈 III -황도-
코드 기아스 부활의 를르슈
고질라: 싱귤러 포인트
SSSS.DYNAZENON

※내용 및 사양은 예고 없이 일부 변경될 수 있습니다.","SUPER ROBOT WARS Y,슈퍼로봇대전 Y",Bandai Namco Entertainment,https://image.api.playstation.com/vulcan/ap/rnd/202504/0308/588154abbf2a40fdae9f2915b7a4588902806fc3f9a0abc0.jpg?w=1920,"롤플레잉 게임, 전략, 시뮬레이션",playstation
Battlefield 6 Phantom Edition,https://store.playstation.com/ko-kr/concept/10009568,2025-10-11,https://image.api.playstation.com/vulcan/ap/rnd/202507/2917/499e810a69aecf9bca5e65daa391ad9fb212b6d17bd230a3.png?w=1920,"English/Chinese/Korean/Japanese Ver.

Battlefield™ 6 Phantom Edition을 예약 구매하고 예약 구매 보너스: 툼스톤 팩*을 받으세요. 병사 스킨, 무기 패키지, 툼스톤 XP 부스트 세트, 플레이어 카드, 병사 패치 등이 포함되어 있습니다.

Phantom Edition 구성:
• Battlefield 프로 토큰
• Phantom 팩, 포함:
- 팬텀 분대: 병사 스킨 4종
- 무기 패키지 2종
- 근접 대검 무기 스킨
- 탑승장비 스킨
- 무기 스티커
- 무기 장식물
- 인식표
• Phantom XP 부스트 세트


최고의 전면전을 경험하세요. 치열한 보병전에서 싸우고, 하늘을 가르며 공중전을 펼치세요. 전략적 우위를 차지하기 위해 주변 환경을 파괴하세요. 키네스테틱 전투 시스템을 활용해 모든 행동과 움직임을 완전히 제어하세요. 전차, 전투기, 거대한 병기로 가득한 전쟁에서 가장 치명적인 무기는 여러분의 분대입니다. 이것이 바로 Battlefield 6입니다.

멀티플레이어
상상할 수 있는 모든 승리를 달성하세요. Battlefield 6에서 승리하는 방법은 그 어느 때보다 다양합니다. 컨퀘스트, 브레이크스루, 러시 등 상징적인 대규모 모드에서 영광을 차지하세요. 킹 오브 더 힐, 도미네이션, 페이로드에서 빠른 속도의 액션에 뛰어드세요. 새롭게 개선된 Battlefield Portal로 전쟁의 규칙을 바꿔 보세요. 카이로, 브루클린, 지브롤터 등 전 세계의 상징적인 장소에서 전투를 벌이세요.

세계적인 규모의 캠페인
캠페인이 돌아왔습니다. 전차로 사하라 사막을 가로지르고, 지브롤터 해안을 공격하고, 침략으로부터 뉴욕을 방어하세요. 엘리트 분대인 해병 강습병이 되어 붕괴 직전에 놓인 세계를 구하기 위해 끊임없이 싸우세요.

PORTAL
전선을 다시 그리세요. Battlefield Portal은 크리에이터와 플레이어가 Battlefield를 한계까지 밀어붙일 수 있는 거대한 샌드박스입니다. 오브젝트를 이동하고, 크기를 조절하고, 복제하여 전례 없는 수준으로 환경을 컨트롤해 보세요. NPC 스크립트와 커스터마이징 가능한 UI를 사용해 독특한 게임 모드를 만들어 보세요. 여러분의 창작물이 공식 Battlefield 모드가 될 수도 있습니다. 여러분의 실력을 보여주세요.",Battlefield 6 Phantom Edition,Electronic Arts Inc.,https://image.api.playstation.com/vulcan/ap/rnd/202507/2917/499e810a69aecf9bca5e65daa391ad9fb212b6d17bd230a3.png?w=1920,슈팅,playstation
Ghost of Yōtei,https://store.playstation.com/ko-kr/concept/10003923,2025-10-02,https://image.api.playstation.com/vulcan/ap/rnd/202504/2116/4c3157e46231c7f549d91c87a391529b0b4c71ecca39bb8a.png?w=1920,"예약주문하고 다음 게임 내 아이템을 획득하세요:
• 아츠 + 요테이 육인방 아바타 세트(7x)
• 게임 내 가면


에디션은 다음을 포함합니다:
• 고스트 오브 요테이

에도 시대의 질서는 잠시 잊으세요.

이전과는 다른 망령이 되어 아름다운 일본 북부의 험준한 지형을 배경으로 새롭고 담대한 이야기를 목격하세요.

이 독립적인 이야기는 비평가들의 찬사를 받은 Ghost of Tsushima의 사건보다 300년이 지난 1600년대를 배경으로, 괴로운 과거를 지닌 고독한 용병 아츠의 여정을 따라갑니다. 복수심에 불타는 그녀는 수년 전 그녀의 가족을 살해한 자들을 찾아 나섭니다.

6인의 무법자를 찾아 에조치를 가로지르는 아츠의 여정은, 그녀를 미지의 땅으로 이끕니다. 아츠는 여정 도중, 여정을 시작했을 때는 생각하지도 못한 위험과 조우하게 됩니다. 그녀가 의외의 동료를 만나고, 단단한 유대를 형성하고, 치유와 구원의 길로 나갈 수 있도록 도와주세요.

- 전투 중 스릴을 느껴보세요. DualSense® 무선 컨트롤러의 햅틱 피드백으로 아츠의 카타나 전투를 손끝으로 생생하게 느껴보세요.
- 궁술과 갈고리의 사용법을 숙달하고, 짜릿한 전투를 경험하고, 다양한 지형을 탐험해 보세요. DualSense 무선 컨트롤러의 적응형 트리거로 이 모든 요소를 더욱 실감할 수 있습니다.
- 빠른 로딩 시간으로 신속하게 일본 북부의 아름다운 풍경 속으로 이동하며 PlayStation®5의 강력한 성능을 느껴보세요.
- 아츠가 눈 덮인 능선, 야생화가 만발한 들판, 울퉁불퉁한 바윗길 등을 여행하는 동안, 놀라운 비주얼로 실현한 풍성하고 생동감 넘치는 환경을 탐험하세요.
- Tempest 3D AudioTech: 3D 공간 오디오로 형성한 특별한 사운드스케이프로 1600년대 일본에 몰입하세요.¹

¹내장 TV 스피커 또는 아날로그/USB 스테레오 헤드폰을 통해 3D 오디오를 지원합니다. 설정이 필요합니다.

한국어 자막은 게임의 원문인 영어를 기반으로 제작되었습니다","Ghost of Yōtei,고스트 오브 요테이",Sony Interactive Entertainment,https://image.api.playstation.com/vulcan/ap/rnd/202504/2116/4c3157e46231c7f549d91c87a391529b0b4c71ecca39bb8a.png?w=1920,액션,playstation
METAL GEAR SOLID Δ: SNAKE EATER,https://store.playstation.com/ko-kr/concept/10007293,2025-08-28,https://image.api.playstation.com/vulcan/ap/rnd/202406/0513/40644e8efe1a34b361adcd5d22283444e0ee12fcf9783479.png?w=1920,"【예약 특전】
・UNIFORM : 흰색 턱시도
※ 본 특전은 별도로 입수할 수 있습니다.


원작의 핵심은 그대로, 몰입 체험이 진화를 이룬다.
2004년 발매된 ""METAL GEAR SOLID 3: SNAKE EATER""를 원작으로 한 리메이크 작품.
원작의 스토리와 세계관은 그대로 유지되었으며, 최신 그래픽과 입체적인 사운드 표현으로 정글에서 펼쳐지는 궁극의 서바이벌 스텔스 액션을 즐길 수 있다.

오리지널 매력 그대로 진화
스토리, 캐릭터, 보이스, 게임 플레이, 음악 등 원작이 가진 매력은 그대로, 최신 하드웨어에 맞춘 진화를 이룬 리메이크 작품. 세계 구석구석을 다시 만들어 모든 컷 장면에 새로운 생명이 불어넣어졌다.

철저한 현실 추구
전투 피해 묘사가 진화하면서 옷의 찢김, 멍, 탄흔이 실시간으로 Snake의 몸에 표현된다. 옷은 갈아입어 변경을 할 수 있지만, 몸에 난 상처는 계속 남게 된다. 플레이어 개개인의 게임 플레이에 따라 Snake의 모습이 다양하게 변한다.

압도적인 몰입감과 현장감
당시와 같은 플레이 감각으로 즐길 수 있는 오리지널 조작 방법과 더불어 새로운 게임에 익숙해진 세대를 위한 플레이 스타일도 채용. 심플하고 이해하기 쉬운 조작성으로 플레이에 대한 집중력을 높여 극한 환경에서의 짜릿한 서바이벌 체험을 즐길 수 있으며, 당시와 같은 플레이 감각으로 즐길 수 있는 플레이 스타일도 선택이 가능.


【추가 컨텐츠】
※추가 컨텐츠는 인터넷에 접속해 소프트를 업데이트하면 플레이하실 수 있습니다. 각 콘텐츠의 배포 시기에 대해서는 정해지는 대로 안내해 드리겠습니다.

・SNAKE VS MONKEY
이 모드에서는 Snake 역할을 하며, 각 단계에서 도망치는 탈출한 유인원들을 모두 모으자!

・FOX HUNT
게임 본편과 공통의 세계관으로 전개하는 완전 오리지널 온라인 대전 모드입니다. 스텔스 요소나 서바이벌 요소등을 구사한 """"숨바꼭질""""에 가까운 전술을 즐기실 수 있습니다.

・Secret Theater
적병이 숨겨둔 8mm 필름을 입수함으로써 해금되는 즐거움 영상입니다. 오리지널 영상 외에도 신작 영상도 수록되어 있습니다.

And more…


※본 제품 외에도 「Digital Deluxe Edition」이 따로 있습니다. 중복 구매에 주의하시기 바랍니다.",METAL GEAR SOLID Δ: SNAKE EATER,KONAMI DIGITAL ENTERTAINMENT,https://image.api.playstation.com/vulcan/ap/rnd/202406/0513/40644e8efe1a34b361adcd5d22283444e0ee12fcf9783479.png?w=1920,액션,playstation
Path of Exile 2 Founder's Pack - Path of Exile 2 Early Access,https://store.playstation.com/ko-kr/concept/10010602,2024-12-06,https://image.api.playstation.com/vulcan/ap/rnd/202505/0523/d77cf9ce78c2fa0b9170a1064e42744c9923a258eb0dde28.jpg?w=1920,"패스 오브 엑자일 2는 2026년 말에 무료 플레이 타이틀로 출시될 예정입니다.
패스 오브 엑자일 2 얼리 액세스 서포터 팩에는 패스 오브 엑자일 2 얼리 액세스 권한과 300 포인트가 포함되어 있습니다.","Path of Exile 2 Founder's Pack - Path of Exile 2 Early Access,패스 오브 엑자일 2 파운더 팩 - 패스 오브 엑자일 2 얼리 액세스",GRINDING GEAR GAMES LIMITED,https://image.api.playstation.com/vulcan/ap/rnd/202505/0523/d77cf9ce78c2fa0b9170a1064e42744c9923a258eb0dde28.jpg?w=1920,액션,playstation
Digimon Story Time Stranger,https://store.playstation.com/ko-kr/concept/10011861,2025-10-02,https://image.api.playstation.com/vulcan/ap/rnd/202506/0208/367cf4e4863b7c658ecf0a4217b8779c3d7565b42aba8d09.jpg?w=1920,"【예약 특전】
육성 디지몬과 코스튬, 아이템이 세트로 구성된 예약 특전 팩을 입수할 수 있습니다.

【예약 특전 팩 내용】
・육성 디지몬: 아구몬(흑)＆파피몬(흑)
・코스튬 「어느 학교의 교복」
- 주인공(유우키 단) 의상 「어느 학교의 교복」
- 주인공(유우키 카난) 의상 「어느 학교의 교복」
・모험 아이템 세트
- 소비 아이템 「메디컬 스프레이 DX」 ×３
- 소비 아이템 「멀티 리커버리 DX」 ×３
- 소비 아이템 「풀 리바이브 스프레이」 ×３
- 장비 「어태커 어태치Ⅰ」 ×１
- 장비 「가드너 어태치Ⅰ」 ×１

※조작하는 주인공(유우키 단, 유우키 카난)은 게임 플레이 도중 옵션 버튼으로 언제든지 변경할 수 있습니다.
※변경한 코스튬은 일부 영상에는 반영되지 않습니다.
※내용 및 사양은 예고 없이 변경될 수 있습니다.。
※특전은 추후 유료 또는 무료로 재배포될 수 있습니다.


※본 상품은 「일반판」입니다. 본 상품 외에 「디럭스 에디션」, 「얼티밋 에디션」도 판매 중입니다. 중복 구매에 주의하십시오.

■”시공”과 ”세계”를 넘어, 인간과 디지몬의 유대를 그려가는 이야기
이야기의 무대는 일본 도쿄.
비밀 조직의 에이전트인 주인공은, 미지의 생물 「디지몬」을 만나 수수께끼의 폭발에 말려든다.
그리고 정신을 차려보니 8년 전의 세계에 와있었는데…
본 작품은 「과거와 미래」「인간 세계와 이세계」, 그리고 「인간과 디지몬」이라는 상반된 두 요소가 복잡하게 얽히며 그려지는 유대와 갈등을 다룬 장대한 이야기를 체험할 수 있습니다.

■인간 세계와 오리지널리티가 넘치는 디지털 월드에서 펼쳐지는 모험
인간 세계와, 디지몬이 사는 이세계 「디지털 월드 일리아스」라는 두 세계. 플레이어는 이야기 속에서 이 세계들을 오가며 해당 세계들의 특성을 살린 기믹이나 퀘스트를 체험할 수 있습니다. 디지털 월드는 지금까지의 디지몬 게임에는 없었던 섬세한 표현이 묘사되어 있으며, 다양한 개성의 필드가 여럿 등장합니다.

■450마리 이상의 디지몬을 수집, 육성하고 전략적으로 편성하여 진행하는 턴제 배틀
디지몬은 플레이어와 대등한 동료입니다. 고난에 맞서는 과정에서 당신과 디지몬의 유대가 시험 받게 됩니다.
모험을 통해 디지몬을 동료로 만들고, 진화, 퇴화, 커스터마이즈를 거치며 자신만의 디지몬을 키워 나갑시다. 시리즈에 친숙한 디지몬부터 게임에 처음 등장하는 디지몬까지, 다양한 디지몬과의 만남을 즐겨주세요.","Digimon Story Time Stranger,디지몬 스토리 타임 스트레인저",Bandai Namco Entertainment,https://image.api.playstation.com/vulcan/ap/rnd/202506/0208/367cf4e4863b7c658ecf0a4217b8779c3d7565b42aba8d09.jpg?w=1920,롤플레잉 게임,playstation
NBA 2K26  PS5,https://store.playstation.com/ko-kr/concept/10014149,2025-09-05,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ed1c4096b6adfd4814e5ae5db686cdb7d27cd07993753ed7.png?w=1920,"NBA 2K26 스탠다드 에디션을 예약 구매*하고 다음 추가 보너스 콘텐츠를 받으세요.

MyTEAM 프로모션 팩 2개
MyPLAYER 게이머플레이트
10,000VC

*보너스 콘텐츠를 사용하려면 인터넷 연결과 NBA 2K 계정이 필요합니다. 약관이 적용됩니다.


본 에디션은 PS5® 및 PS4®용 NBA 2K26 디지털 버전을 포함합니다.

NBA 2K26에서 자존심을 건 승부가 펼쳐집니다. MyCAREER에서 나만의 레전드를 만들고, MyTEAM에서 스타를 모으고 이들과 경쟁하고, PS5®의 MyNBA 또는 PS4®의 MyLEAGUE에서 중대한 결정을 내리세요.


ProPLAY™로 구동

PS5®에서 NBA 영상을 사실적인 게임 플레이로 직접 전환하는 실감나는 기술로 모든 점유율을 장악하세요. 더 자연스럽게 연결되는 드리블과 크로스오버를 느끼고, 완전히 새로운 기능을 활용해 역동적인 플레이 메이킹을 펼치며 자유롭게 움직이세요.


팀을 결성하고 승리하라

MyCAREER에서 게임의 한계를 뛰어넘는 MyPLAYER를 육성하고, 자라나는 유망주에서 글로벌 슈퍼스타로 성장하세요. 친구들과 협력하고, 자랑할 권리를 얻기 위해 라이벌 팀과 대결할 수 있는 눈부시게 멋진 환경을 장악하세요.


MyTEAM에서 스타를 통합

MyTEAM에서 과거와 현재의 농구 레전드를 모으고 이들과 경쟁하세요. 화려한 라인업의 로스터를 구성하고, 싱글 플레이 및 멀티플레이 모드에서 여러분의 드림팀을 시험하고, 새로운 카드를 획득하여 MyTEAM의 환상을 현실로 만들어보세요.


나의 팀으로 완성하는 나의 이야기

PS5®의 MyNBA 또는 PS4®의 MyLEAGUE에서 단장이 되어 NBA 프랜차이즈의 다음 장을 쓰세요. 스포츠의 미래에 영향을 미치고 리그에 지워지지 않을 흔적을 남겨보세요.

Play Now, MyNBA, The W 및 MyLEAGUE는 오프라인에서 플레이할 수 있습니다. 기타 다른 게임 모드 및 기능은 인터넷 연결이 필요하며 온라인 계정 등록이 필요할 수 있습니다(나이 제한은 만 13세 이상으로 경우에 따라 다름).","NBA 2K26  PS5,PS5용 NBA 2K26",Take-Two,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ed1c4096b6adfd4814e5ae5db686cdb7d27cd07993753ed7.png?w=1920,스포츠,playstation
SILENT HILL f,https://store.playstation.com/ko-kr/concept/10010242,2025-09-25,https://image.api.playstation.com/vulcan/ap/rnd/202505/0704/0ac946cfb6a43dee36df577f682cac09f8e2364c516a3a2d.png?w=1920,"《예약 구매 특전》
●흰색 교복(※1)
●부적 【모란】(※2)
●아이템 팩(※3)

※1
히나코의 외형을 변경할 수 있는 의상입니다.
게임 내 '사당'의 '갈아입기' 메뉴에서 변경할 수 있습니다.

※2
히나코가 장비할 수 있는 아이템입니다.
게임 내 '사당'의 '특전 받기' 메뉴에서 획득할 수 있습니다.
'특전 받기'는 게임 진행도에 따라 열립니다.

※3
소비 아이템이 3개 포함된 팩입니다. 한 번만 받을 수 있습니다.
게임 내 '사당'의 '특전 받기' 메뉴에서 획득할 수 있습니다.
'특전 받기'는 게임 진행도에 따라 열립니다.
《아이템 팩 내용》
·바싹 마른 유부 x1
·신수 x1
·구급상자 x1

※주의 사항
별도 판매되는 ""SILENT HILL f - Deluxe Upgrade""에는 해당 특전이 포함되지 않으므로 주의해 주세요.


미련. 갈등. 후회. 피할 수 없는 선택. 그리고 자신의 죄.
그것과 마주할 수 없는 자들은 짙은 안개 속 세상을 떠돈다……

무시무시한 심상 풍경이 구현된 세계와 크리처가 특징인
공포와 광기의 사이콜로지컬 호러 'SILENT HILL' 시리즈 최신작.

일본을 무대로 한 새로운 ""사이콜로지컬 호러""가 시작된다.


옛 시절. 한 지방의 산간에 위치한 쓸쓸한 시골 마을 에비스가오카에 사는 고등학생 시미즈 히나코.
그녀의 일상은 흐릿한 잿빛이기는 해도 사춘기다운 평범한 나날이었다.

그러나 그 평범한 일상은 갑작스럽게 무너진다.
익숙했던 마을은 안개에 둘러싸여 오싹하게 변해 간다.
인기척은 사라지고 대신 안개 속에서 기괴한 무언가가 꿈틀거린다.

변모한 마을을 탐색하고 수수께끼를 풀며 몸을 지키기 위해 싸우고 살아남아라.

마주해야만 하는 선택과 마주하기 위해서.
그리고 죽여야만 하는 자를 죽이기 위해서.

그녀가 택한 것은 아름다운 선택인가?
아니면 소름 끼치는 선택인가?

아름답고도 오싹한 선택에 관한 이야기.",SILENT HILL f,KONAMI DIGITAL ENTERTAINMENT,https://image.api.playstation.com/vulcan/ap/rnd/202505/0704/0ac946cfb6a43dee36df577f682cac09f8e2364c516a3a2d.png?w=1920,공포,playstation
Borderlands 4,https://store.playstation.com/ko-kr/concept/10000819,2025-09-12,https://image.api.playstation.com/vulcan/ap/rnd/202506/0210/214ca4b5cdbf9198e587396e71714b9147e669bbdaf07b0d.jpg?w=1920,"보더랜드 4를 예약 구매하여 볼트 헌터 스킨과 무기 스킨, 에코-4 드론 스킨을 제공하는 길디드 글로리 팩을 받으세요!*
*예약 구매 혜택은 게임 출시 시까지 제공되며, 그 이후부터는 길디드 글로리 팩을 별도로 구매하여 이용할 수 있습니다(기본 게임 필요). 보너스 콘텐츠를 사용하려면 인터넷 연결이 필요합니다. 아이템은 출시 시 게임 속에서 자동으로 지급됩니다. 이용 약관이 적용됩니다.


보더랜드 4에서는 무자비한 폭군이 지배하는 새로운 행성에서 화끈한 액션과 배드애스 볼트 헌터, 셀 수 없이 다양한 기상천외하고 치명적인 무기를 만나볼 수 있습니다.

부와 명예를 쫓는 네 명의 새로운 볼트 헌터 중 한 명이 되어 카이로스에 온몸으로 부딪혀 보세요. 강력한 액션 스킬을 휘두르고, 무궁무진한 스킬 트리로 빌드를 커스터마이징해 화려한 이동 능력으로 적들을 압도하세요.

저 멀리 높은 자리에서 민중을 내려다보며 지배하는 무자비하고 억압적인 독재자 '타임키퍼'에게서 벗어나세요. 물 흐르듯 자연스러운 게임 플레이를 자랑하는 보더랜드의 세계에서 카이로스의 민중들을 단합하고 혁명의 불씨를 피워보세요.

무적의 배드애스
적들을 향해 기상천외한 새로운 무기들을 마음껏 발사하며 천하무적이 된 듯한 기분을 만끽해 보세요. 더블 점프, 활공, 회피, 고정 지점 잡기 등 다양한 움직임을 통해 완전히 새로운 방식으로 보더랜드를 경험하고 어떤 방향에서든 날렵하게 적들의 숨통을 끊어버리세요. 볼트 헌터의 특별한 능력을 발휘하는 강력한 액션 스킬을 사용하여 모든 전투에서 적들을 산산조각 내 버리세요. 다양한 선택지를 제공하는 스킬 트리로 나만의 드림 빌드를 완성하고, 폭발적인 무기와 강력한 장비로 가득한 전리품을 찾아 떠나보세요.

솔로 또는 협동 플레이로 즐기는 전투
카이로스를 종횡무진하는 여정은 혼자서도 즐겁지만, 2인 화면 분할이나 최대 4인 온라인 협동 플레이로 친구들과 함께할 때 한층 더 즐거워집니다.* 레벨 자동 조정과 개별 난이도를 통해 친구들과 함께 전리품을 찾아 떠나고, 임무를 수행하거나 정처없이 떠돌며 즐거운 시간을 보내 보세요.

한층 더 광활하고 자유로워진 환경
쉴 새 없이 교전을 벌이는 무리들로 가득한 광활하고 위험한 세계를 자유롭게 탐험해 보세요. 호버 바이크에 올라타 잊지 못할 캐릭터들과 무시무시한 적, 신명 나는 이벤트, 흥미로운 퀘스트로 가득한 무성한 들판과 높디높은 고지, 위험이 도사리는 사막을 달려보세요.

*온라인 플레이에는 인터넷 연결이 필요하며, 크로스 플레이에는 SHiFT 계정이 필요합니다. 콘솔 온라인 플레이를 이용하려면 별도의 유료 구독이 필요합니다. 이용 약관이 적용됩니다.","Borderlands 4,보더랜드 4",Take-Two,https://image.api.playstation.com/vulcan/ap/rnd/202506/0210/214ca4b5cdbf9198e587396e71714b9147e669bbdaf07b0d.jpg?w=1920,슈팅,playstation
OCTOPATH TRAVELER 0,https://store.playstation.com/ko-kr/concept/10014094,2025-12-04,https://image.api.playstation.com/vulcan/ap/rnd/202505/2109/ec93e69b1e3429c574fc9d9bb3457f8f242f975e9ade3478.png?w=1920,"【다운로드 버전 예약 특전】
・「여행 응원 팩」: 게임 초반에 도움이 되는 아이템과 어빌리티 세트입니다.
세트 내용
・HP 회복 포도(대)×5
・SP 회복 자두(대)×5
・완전 회복 잼×2
・극의: 빙결 마법
※ 2025년 12월 03일 23:59까지 예약하신 분에게만 증정됩니다.
※게임을 일정 부분까지 진행한 후에 주점에서 수령할 수 있습니다.


PS4® 다운로드 버전과 PS5® 다운로드 버전을 모두 다운로드 할 수 있습니다.

【상품 개요】
전 세계 판매량 500만 장을 돌파한 RPG 「옥토패스 트래블러」 시리즈 최신작.
오르스테라 대륙을 무대로 삼아, 신의 반지를 둘러싸고 벌어지는 복수와 재건의 이야기가 펼쳐진다.

도트 아트와 3D CG를 융합한 그래픽 표현인 「HD-2D」, 플레이어가 원하는 대로 사용할 수 있는 「필드 커맨드」, 플레이어의 전략으로 전황을 뒤집을 수 있는 「브레이크&부스트」 등, 옥토패스 트래블러 시리즈의 특징적인 시스템이 본작에서도 유지된다.
또한, 시리즈 최초로 유저가 주인공을 만들 수 있는 「캐릭터 생성」 및 고향을 재건하는 「마을 개발」 등의 새로운 시스템도 추가되었다.

복수의 길을 걸을 것인가, 재건의 길을 개척할 것인가…
선택은 오로지 당신에게 달렸다.
여행을 떠나자. 당신이 만드는 이야기로…

【특징】
(1) 이 작품의 주인공은 바로 당신이다. 외모, 목소리, 머리 모양은 물론이고, 몸짓이나 좋아하는 요리까지 설정할 수 있는 「캐릭터 생성」 시스템으로 나의 분신을 만들어 보자.

(2) 고향 마을을 재건하는 「마을 개발」도 새롭게 등장! 동료들이나 여행지에서 만난 사람들을 마을로 이주시켜서 나만의 마을을 만들어 보자.

(3) 전략적이면서 호쾌한 배틀을 즐길 수 있는 「8명 편성 커맨드 배틀」. 30명 이상의 동료 중에서 나만의 파티를 편성해 보자.

(4) 「필드 커맨드」를 사용해서 내 마을에 초대하거나, 마을 사람들과 배틀을 하거나, 아이템을 입수하는 등, 어디에 가고 무엇을 할지는 오로지 당신에게 달려 있다.

(5) 어빌리티를 장비처럼 장착하거나 변경할 수 있는 「셀렉트 어빌리티」 시스템도 새롭게 등장하여 동료를 성장시켜서 얻은 기술을 다른 동료가 익히게 할 수도 있다.","OCTOPATH TRAVELER 0,옥토패스 트래블러 0","SQUARE ENIX CO., LTD.",https://image.api.playstation.com/vulcan/ap/rnd/202505/2109/ec93e69b1e3429c574fc9d9bb3457f8f242f975e9ade3478.png?w=1920,롤플레잉 게임,playstation
