title,url,imageurl,description,autokwd,company,screenshot,tag,platform
Alone in the Dark,https://store.playstation.com/ko-kr/concept/10005283,https://image.api.playstation.com/vulcan/ap/rnd/202308/1716/313939119e4f414b879d24caeddaaea50c7b39f55e7ad8f2.jpg?w=1920,"Alone in the Dark를 사전 주문하세요! 지금 사전 주문하시면 Derceto 1992 Costume 팩이 증정됩니다.


고전 서바이벌 호러 게임 어둠 속에 나 홀로의 리메이크 버전에서 심리적 공포와 남부 고딕 장르의 정수를 경험해보세요

새로운 장르를 개척했던 어둠 속에 나 홀로 원작에 보내는 헌사로 리메이크된 이번 게임은 두 주인공 중 한 명으로 플레이할 수 있습니다. 에드워드 칸비 또는 에밀리 하트우드가 되어 주변 환경을 탐험하고, 괴물과 싸우고, 퍼즐을 풀며 더시토 저택의 꺼림칙한 비밀을 파헤치세요...

이야기는 1920년대 미국 남부에서 에밀리 하트우드의 삼촌이 실종되며 시작됩니다. 에밀리는 개인 탐정 에드워드 칸비와 함께 정신이 온전치 못한 이들의 집이자 숨겨진 비밀을 간직한 더시토 저택으로 향합니다. 이곳에 사는 수상한 사람들, 악몽같이 끔찍한 환경, 위험한 괴물들과 대면하고 사악한 계획을 파헤치세요. 현실, 비밀, 광란의 중심에서 가치관을 뿌리째 뒤흔들 탐험을 경험할 수 있습니다. 누구를 신뢰할 수 있을까요? 무엇을 믿을 수 있을까요? 그리고 당신은 어떤 선택을 할 건가요?


- 90년대에 출시된 고전 중의 고전 호러 게임 어둠 속에 나 홀로의 리메이크 버전에서 더시토 저택을 탐험해보세요.
- 심리적 공포 장르를 탄생시킨 원작의 심장 조이는 분위기를 경험해보세요.
- 온몸에 소름이 돋게 만들지만 절대 소리는 끄고 싶지 않게 만들 절망으로 가득한 재즈 사운드트랙이 울려 퍼지는 환경 속에 빠져보세요.
- 언제든 그림자에서 사악한 존재가 나타날 것 같은 비현실적인 공간에서 턱없이 부족한 총알만으로 생존해내는 스릴을 즐겨보세요.
- 악몽 같은 공간을 에밀리 하트우드 또는 에드워드 칸비의 관점으로 경험하며 이 고딕 저택의 꺼림칙한 비밀을 파헤쳐보세요.
- SOMA와 Amnesia를 집필한 호러 장르 작가 Mikael Hedberg가 선사하는 이야기에 몰입해보세요. 상상의 한계를 넘어서는 심리적 공포를 경험할 수 있습니다.
- 에밀리와 에드워드가 할리우드 배우 Jodie Comer(킬링 이브, 프리 가이)와 David Harbour(기묘한 이야기, 블랙 위도우)의 목소리와 외모, 뛰어난 연기에 힘입어 실감 나는 캐릭터로 재탄생했습니다.","['Alone in the Dark', 'Alone in the Dark (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))']",THQ NORDIC GAMES GMBH,['https://image.api.playstation.com/vulcan/ap/rnd/202308/1716/313939119e4f414b879d24caeddaaea50c7b39f55e7ad8f2.jpg?w=1920'],"['어드벤처', ' 공포', ' 퍼즐']",['playstation']
Ravva and the Phantom Library,https://store.playstation.com/ko-kr/concept/10009127,https://image.api.playstation.com/vulcan/ap/rnd/202310/1308/f2c068e22ab72f3f123e8a126cc642a93babac4a731fe9e6.png?w=1920,"젊은 소환사 견습생인 Ravva가 되어 4명의 개성 넘치는 동료를 소환하고, 악몽과도 같은 팬텀 도서관에서 탈출하세요! 이 레트로 횡스크롤 플랫포머에서는 당신이 원하는 순서대로 유령 책 세계로 들어가 각 책의 마스터를 물리치고 도서관을 지배하는 존재를 상대하게 됩니다. 또한, 클리어한 책은 나중에 다시 들어가서 새로운 비밀을 파헤치고 단순히 보스를 물리치는 것 이상으로 스테이지를 완료할 수도 있습니다. 가장 헌신적인 소환사는 특별한 결말을 잠금 해제할 수 있을지도 몰라요!

8비트 장르 클래식으로부터 영감을 받은 Ravva and the Phantom Library는 기발한 레벨 디자인에 활기찬 픽셀 아트, 정밀한 컨트롤을 결합하여 과거 클래식 게임에 경의를 표하면서도 신선한 경험을 더했습니다. 사랑스러운 캐릭터, 유려한 애니메이션, 두뇌를 자극하는 퍼즐이 7개의 기발한 스테이지를 채우고 있습니다! 3가지 난이도 중에서 자신에게 맞는 난이도를 고르세요.

특징:

• 작은 올빼미 소환사 Ravva가 되어 레트로 횡스크롤 액션을 즐기세요!
• 4가지 동료의 각기 다른 재능을 사용해서 장애물을 극복하고 적을 물리치세요.
• 유령 책에 들어가서 다양하고 흥미로운 테마가 가득한 스테이지를 탐험하세요!
• 유려한 픽셀 아트 스타일로 구현된 거대한 보스를 물리치세요.
• 클리어한 책 세계를 다시 방문해서 비밀을 찾고 특별한 결말을 잠금 해제하세요!",['Ravva and the Phantom Library'],eastasiasoft,['https://image.api.playstation.com/vulcan/ap/rnd/202310/1308/f2c068e22ab72f3f123e8a126cc642a93babac4a731fe9e6.png?w=1920'],"['액션', ' 퍼즐']",['playstation']
Shivering Stone,https://store.playstation.com/ko-kr/concept/10009327,https://image.api.playstation.com/vulcan/ap/rnd/202310/1713/c2b989d2784fffdc9d44967a06f81542f6eaa111f3377805.png?w=1920,"겨울숲을 배경으로 편안한 여정을 체험하세요. 평온한 비주얼과 마음이 차분해지는 사운드를 즐기면서 당신 앞에 펼쳐지는 비밀을 풀고 두뇌를 자극하는 시나리오를 진행해 나가세요.

Shivering Stone은 눈밭과 얼어붙은 숲을 여행하는 젊은 남자의 역할을 맡아 진행하는 환경 슬라이딩 퍼즐입니다. HD 픽셀 아트와 선명한 스프라이트 및 유려한 애니메이션으로 제공되는 Shivering Stone의 50개 스테이지는 진행할수록 점점 더 퍼즐 난이도가 높아집니다. 각각의 퍼즐은 톱다운 시점으로 하나의 화면을 완전히 다 채웁니다.

과연 당신은 준비된 퍼즐을 전부 다 풀 수 있을까요?

특징:

• 밀기 퍼즐 메카닉에 얼음 요소를 더했습니다!
• 젊은 모험가를 안내하여 눈밭과 얼어붙은 숲을 여행하세요.
• 바위를 밀고 얼음 위의 구멍에 떨어뜨려 관문을 잠금 해제하고 출구를 여세요!
• 50개의 단일 화면 스테이지를 통해 점점 더 어려워지는 퍼즐 구성을 경험하세요.
• 제약 없이 얼마든지 초기화하고 다시 도전하세요.
• 유려한 픽셀 아트 애니메이션과 멋진 환경을 즐기세요!",['Shivering Stone'],eastasiasoft,['https://image.api.playstation.com/vulcan/ap/rnd/202310/1713/c2b989d2784fffdc9d44967a06f81542f6eaa111f3377805.png?w=1920'],"['가족', ' 퍼즐']",['playstation']
Winter Sports Games,https://store.playstation.com/ko-kr/concept/234305,https://image.api.playstation.com/vulcan/ap/rnd/202312/0511/b31ba850e75e6407517ecaa54e74b23dc733c59145b8128f.png?w=1920,"눈으로 출발!

스키, 봅슬레이 또는 썰매를 아이스 링크에서 즐기거나 컬링을 할 때 얼음 위로 스톤을 컬링하는 것을 선호하는지 여부는 중요하지 않습니다.

토너먼트에서 우승하고 챌린지를 마스터할 수 있는 6가지 흥미진진한 분야가 있습니다. 혼자 또는 최대 4명의 플레이어와 함께 소파에서 플레이할 수 있으며, 경기 후 모두 콧물 없이 플레이할 수 있습니다!

• 2~4인용 로컬 멀티플레이어
• 6가지 흥미진진한 분야:
• 스키 점프
• 스키 슬라롬
• 활강 스키
• 봅슬레이
• 썰매 타기
• 컬링
• 현대적인 그래픽과 고전적인 컨트롤","['Winter Sports Games - 4K Edition (영어)', 'Winter Sports Games - 4K Edition']",JOINDOTS GMBH,['https://image.api.playstation.com/vulcan/ap/rnd/202312/0511/b31ba850e75e6407517ecaa54e74b23dc733c59145b8128f.png?w=1920'],['스포츠'],['playstation']
Bigfoot's Journey,https://store.playstation.com/ko-kr/concept/10009913,https://image.api.playstation.com/vulcan/ap/rnd/202311/2500/1b5241fdbc125a19b7d7a72f0e306814d87229c75894b31b.jpg?w=1920,"숨고, 생존하고, 다른 차원을 여행하고, 미로를 통과하는 방법을 배운 실제 빅풋에 대해 알아보세요.

20세기의 가장 중요한 사건 중 세 가지가 눈에 띕니다. 인간이 우주로 나갔습니다. 인간은 달에 가본 적이 있다. 그 사람은 자신이 지구상에서 지능을 가진 유일한 소유자가 아니라는 것을 확신하게 되었습니다.

몇 년이 지났습니다. 행성은 21세기 중반이다. 인류는 멸종 위기에 처해 있습니다. 핵겨울이 맹위를 떨치고 있습니다. 공식적으로는 유사과학으로 분류되어 있지만, 실제로는 연구 대상이 실제이기 때문에 가장 중요한 과학 분야입니다.

특징:

- 7장
- 15개의 미로가 있는 미니 게임
- 흑백 표현 그림","[""Bigfoot's Journey""]",Volkov Konstantin Sergeevich,['https://image.api.playstation.com/vulcan/ap/rnd/202311/2500/1b5241fdbc125a19b7d7a72f0e306814d87229c75894b31b.jpg?w=1920'],"['어드벤처', ' 캐주얼']",['playstation']
Rough Justice: '84,https://store.playstation.com/ko-kr/concept/10008318,https://image.api.playstation.com/vulcan/ap/rnd/202310/1914/b9a9c54688f1d716140b92e707abd54c74ea39164e9faf5d.png?w=1920,"보드게임에서 영감을 받은 싱글 플레이 전략 게임 Rough Justice: '84에서 여러분은 퍼즐을 풀고, 주사위를 던지고, 카드를 내며 사립 탐정 사무소를 운영하게 됩니다. 요원들에게 지시를 내려 경비, 수배자 체포, 압류 사건 등 다양한 문제를 해결해 보세요.

요원
프리랜서 요원들을 고용해 사건을 해결하세요! 다양한 요원을 고용할 수 있고 사건마다 다른 능력이 필요하므로, 적절한 요원을 찾는 것이 무엇보다 중요합니다. 사건을 해결하고 보상을 받아 로스터를 확대하면 더 많은 요원을 고용할 수 있습니다.

사건
경비, 압류, 수배자 체포, 야습과 같은 여러 사건을 진행하며, 정보를 잘 파악하고 계획해야 성공을 거둘 수 있습니다. 각 사건에서 필요한 능력을 확인한 후, 알맞은 요원을 투입해 임무를 완수하고 최상의 결과를 달성해 보세요.

주사위
모든 요원은 다섯 가지 능력치를 가지고 있으며, 각 능력치으 수치는 0에서 5까지 다양합니다. 능력치 수치는 1회의 능력치 굴림에 배정되는 주사위의 수를 나타냅니다.

퍼즐
사건에 따라서 게임의 장르와 시대에 맞는 퍼즐(이라 쓰고 미니게임이라 읽습니다)을 통해 다양하고 몰입되는 경험을 즐길 수 있습니다. 퍼즐은 암호해독, 디지털과 아날로그 기계를 이용한 퍼즐, 그리고 반사신경을 시험하는 퍼즐에서 수학 퍼즐까지 다양합니다.

장비 카드
카드를 사용하면 주사위 굴림에 적용되는 능력치 수치를 일시적으로 높일 수 있습니다. 장비 카드에는 카드의 희귀도를 나타나는 등급 수치가 있습니다. 또한, 내구도 수치가 존재해 해당 횟수만큼 카드를 사용하면 카드가 인벤토리에서 삭제됩니다.

비열한 거리
고용한 요원, 80년대에 걸맞은 감시 기술, 그리고 고위층과의 친분까지. 활용할 수 있는 모든 능력과 자원을 총동원해 도시를 좀먹는 사회악을 소탕하세요.

단, 조심해야 합니다. 정의를 위한 이 싸움의 배후에서 매우 거대한 음모가 펼쳐지고 있으니까요. 원대한 야망을 품은 비밀 조직이 세네카 전역에 그 영향력을 뻗치고 있습니다. 그리고 그들의 총구는 바로 당신을 겨누고 있습니다.","[""Rough Justice: '84""]",DAEDALIC ENTERTAINMENT,['https://image.api.playstation.com/vulcan/ap/rnd/202310/1914/b9a9c54688f1d716140b92e707abd54c74ea39164e9faf5d.png?w=1920'],['전략'],['playstation']
The Rumble Fish +,https://store.playstation.com/ko-kr/concept/10008935,https://image.api.playstation.com/vulcan/ap/rnd/202310/2703/cdbd48cb62597d95309b4ab2ea51900caba68656df5a74b8.jpg?w=1920,"새로운 가능성을 뜻하는 '+(플러스)'.
아케이드판 'The Rumble Fish'가 신규 기능과 함께 부활합니다!

2004년 Dimps에서 개발한 격투 게임으로, 부드러운 캐릭터 애니메이션과 심플하면서도 깊이 있는 시스템으로 인기를 끌었던 'The Rumble Fish'가 현대 가정용 환경에 맞춰 신규 기능을 추가한 'The Rumble Fish+'로 다시 태어났습니다.

Rollback Netcode를 지원하는 온라인 대전은 물론이고 관전, 리플레이 데이터 저장, CPU 녹화&플레이백 기능을 지원하는 트레이닝 모드까지! 격투 게임 팬에게 필요한 기능이 모두 모인 완전판 'The Rumble Fish+'를 만끽하시기 바랍니다.

[주요 게임 모드]
・아케이드
・로컬 대전
・온라인 대전 (Rollback Netcode 지원)
・트레이닝

신규 기능: 트레이닝 모드에서 '적 행동'을 녹화, 재생할 수 있습니다. '녹화'를 시작한 뒤 CPU의 움직임을 입력하고 나서 '재생'하면, 특정 행동을 취하는 CPU를 상대로 반복 연습할 수 있습니다.

스킨 컬러 설정:
캐릭터 선택 시 LP, LK, SP, SK, D, START 버튼을 눌러 다른 컬러를 선택할 수 있습니다. (디폴트는 LP)

그리드 사용 방법:
캐릭터 화면에서 지정한 순서대로 캐릭터에 커서를 대고 아래와 같이 각 버튼을 입력합니다.
1 오빌: 오른쪽 2회
2 타이폰: 왼쪽 1회
3 보이드: 왼쪽 3회
4 젠: 오른쪽 2회
마지막에 '위쪽'을 입력하면 그리드를 선택할 수 있습니다.

[스토리]
20세기 말… 대규모 자연재해가 한 나라의 동부 지역을 덮쳤다. 재해로 인해 경제 중추가 소멸하고 엄청난 인명 피해가 발생했다.

21세기 초… 대기업 'PROBE-NEXUS'(통칭 프로브)가 재건 사업을 시작했다. 막대한 자산과 첨단 기술을 쏟아부어, 옛 마천루를 능가하는 고층 빌딩과 세계 최대 규모의 쇼핑몰, 오락 시설로 구성된 곳이 탄생했다. 이곳은 '존 프라임'이라는 이름이 되어 새로운 세기의 상징으로 화려하게 탈바꿈했다.

그리고 서부 블록에 위치한 미개발지구 슬럼가에서는 지금…",['The Rumble Fish +'],3GOO K.K.,['https://image.api.playstation.com/vulcan/ap/rnd/202310/2703/cdbd48cb62597d95309b4ab2ea51900caba68656df5a74b8.jpg?w=1920'],['격투'],['playstation']
Tiger Blade,https://store.playstation.com/ko-kr/concept/10007116,https://image.api.playstation.com/vulcan/ap/rnd/202312/0816/f2897d3c1cee728c428886340568a7be420b7df617668b2e.jpg?w=1920,"한국 액션영화의 영웅이 되어 보세요 :
타이거 블레이드(Tiger Blade)게임을 통하여 PlayStation VR 2에서 한국 액션영화의 가장 잔인하고 강렬한 전투를 경험하십시오. 골목길, 시장, 선착장 등을 세밀하게 재현한 호화로운 환경에서 검과 권총으로 앞을 가로막는 모든 적을 무찌르세요.

배신의 이야기 :
스토리는 한국의 근 미래에서 진행되며, 당신은 타이거 부족의 호랑이 여단에서 가장 뛰어난 암살자를 플레이하게 됩니다. 대립하는 여단의 수상한 물건을 훔쳐오라는 임무를 수행 중, 당신은 100년 전에 사라졌다고 알려진 아기 호랑이와 마주하게 됩니다. 그리고 직후, 그 전설적인 생명체를 차지하기 위해 그 지역 모든 갱단과 당신의 여단이 움직이기 시작합니다.

아케이드 스코어링 시스템 :
타이거 블레이드는 스코어링 시스템과 온라인 리더보드, 스피드런 및 다양한 서브 퀘스트를 제공하여 반복 플레이의 재미를 추구하였습니다. 여러분의 시간이 순식간에 사라지는 마법을 보여드릴 거라 단언합니다 !

PlayStation VR 2에서의 확장성 :
조작기의 햅틱 진동과 적응형 이완 및 헤드셋 진동을 제공하는 PlayStation VR 2기기로 인하여 여러분의 액션 몰입의 강도는 차원을 달리할 것입니다.",['Tiger Blade'],Ikimasho SAS,['https://image.api.playstation.com/vulcan/ap/rnd/202312/0816/f2897d3c1cee728c428886340568a7be420b7df617668b2e.jpg?w=1920'],"['어드벤처', ' 액션']",['playstation']
Vetrix Worlds,https://store.playstation.com/ko-kr/concept/10009114,https://image.api.playstation.com/vulcan/ap/rnd/202312/1116/2c8bbfda08d85baaf629b8190cb8205a90f3d77085ea3668.png?w=1920,"칭찬받은 Tetris를 모티브로 한 가상현실 퍼즐 게임이 풍부한 기능의 후속작과 함께 돌아왔습니다! 아케이드 및 캠페인 모드로 게임을 혼자 즐기거나, 새롭게 추가된 협동 및 경쟁형 온라인 멀티플레이 모드로 소셜하게 즐기실 수 있습니다. 블록 쌓기의 기술을 마스터하실 겁니까?",['Vetrix Worlds'],Vagabond Interactive Inc.,['https://image.api.playstation.com/vulcan/ap/rnd/202312/1116/2c8bbfda08d85baaf629b8190cb8205a90f3d77085ea3668.png?w=1920'],['퍼즐'],['playstation']
파피 플레이타임: 챕터 1,https://store.playstation.com/ko-kr/concept/10009028,https://image.api.playstation.com/vulcan/ap/rnd/202310/2416/67f5b83f1c7e842f9e27953181ec7bc4f50a81324fbf5147.jpg?w=1920,"이 공포/퍼즐 어드벤처에서 살아남아야 합니다. 버려진 장난감 공장에서 복수심에 불타며 기다리고 있는 장난감에게서 살아남으세요. 그랩팩을 사용해 전기 회로를 자르거나 멀리서 아이템을 잡아보세요. 수수께끼의 시설을 탐험하고... 잡히지 마세요.

플레이타임 회사에 오신 걸 환영해요!
과거 플레이타임 회사는 장난감 제조 산업의 왕이었습니다... 그러던 어느 날 공장 안의 모두가 흔적 없이 사라져 버렸습니다. 몇 년이 지난 지금, 여러분은 폐공장을 탐험하며 진실을 밝혀야 합니다.

장난감
플레이타임 회사의 장난감들은 무리를 지어 살아 움직입니다! 부기봇, 허기 워기, 캣비, 파피 말고도 다양한 장난감들이 있어요! 이곳에 있는 동안 장난감을 잠깐 만나보면 어떨까요? 새로운 친구 몇 명이 생길 수도 있으니까요...

그랩팩
이 놀라운 그랩팩은 착용 가능한 배낭으로, 강철 와이어로 연결된 인공 손 2개가 달려 있습니다. 플레이타임 회사 직원은 이 편리한 최첨단 도구를 사용해 무엇이든 자유롭게 해낼 수 있습니다! 다음 기능 목록을 살펴보면 그랩팩을 통해 가능한 동작을 확인할 수 있습니다.
• 손으로 강력하게 붙잡아 무거운 물체를 손쉽게 움직일 수 있습니다!
• 신축성 있는 긴 와이어로 거리가 얼마나 되든 어디에나 직원이 손을 뻗을 수 있습니다!
• 강철 와이어 덕분에 전기도 아주 잘 통합니다!

더욱 향상된 기능을 지금 만나 보세요!
콘솔 버전 파피 플레이 타임: 챕터 1에는 그래픽 향상, 게임플레이 개선요소, 신규 옵션, 추가 현지화 지원, 버그 수정 등이 포함되었습니다!

계속 함께해 주시겠어요? 재미있는 것이 아주 많이 준비되어 있거든요. 이제 곧 플레이타임입니다…","['Poppy Playtime: Chapter 1', '파피 플레이타임: 챕터 1']","Mob Entertainment, Inc.",['https://image.api.playstation.com/vulcan/ap/rnd/202310/2416/67f5b83f1c7e842f9e27953181ec7bc4f50a81324fbf5147.jpg?w=1920'],"['공포', ' 퍼즐']",['playstation']
