title,url,date,imageurl,description,autokwd,company,screenshot,tag,platform
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,https://store.playstation.com/ko-kr/concept/10007670,2024-08-08,https://image.api.playstation.com/vulcan/ap/rnd/202404/1709/92c7ada3ce554cbb73c1bc192d6e2cc3f6d83b3ef822c71e.jpg?w=1920,"【초보자 응원 세트】
・강화 건축물 선행 개방
「리무버거」, 「커리무루」
・건축용 통화 3000GD
・캐릭터 경험치 3000GP

※다운로드 버전은 게임 본편과 함께 자동으로 특전이 제공됩니다.
※본 특전을 얻으시려면 게임 본편 제1장인 「오거의 습격」을 완료하셔야 합니다.
※특전을 이용하시려면 최신 버전으로 업데이트하셔야 합니다.
※특전은 추후 별도로 판매될 수 있습니다.


본 제품을 소지한 고객님께서는 해당 게임의 디지털 PS4 버전과 디지털 PS5 버전 모두를 보유하실 수 있습니다.

※본 상품 외에도 에디션이 별도로 판매 중입니다. 중복 구매에 주의하십시오.

동료들과 함께하는 새로운 템페스트의 이야기―

◆호쾌한 콤보&액션 배틀
화려한 필살기와 강력한 동료들의 힘을 조합하여 경쾌하게 콤보를 이어가는 호쾌 액션 배틀을 즐기실 수 있습니다.
동료들의 기술을 리무루가 습득하는 초필살기와 Eight Bit에서 제작하는 애니메이션 연출이 들어간 오의를 구사하여 템페스트의 앞길을 가로막는 강적들을 쓰러뜨립시다!

◆스토리 체험&새로운 체험
키진과의 만남부터 파르무스 왕국과의 전투까지의 이야기를 풀 보이스로 체험하실 수 있습니다.
또한, 원작자의 감수로 완전 신작 오리지널 스토리가 이야기 곳곳에 전개되어 새로운 강적에게 맞서는 이제껏 없었던 템페스트 창세의 이야기를 즐기실 수 있습니다.

복수의 고블린 편:
아랑족의 습격을 받아 동료를 잃은 과거를 가진 이블 고블린 「카타키」.
과거의 적과 홉고블린이 공존하는 템페스트의 모습에 분노한 그의 복수극이 시작되었다.

종교 국가 편：
천사를 숭배하는 수수께끼의 종교 국가 「앙겔스」. 폭풍룡의 힘을 노리고 템페스트와 대립한다.

◆건국 체험
이야기가 진행되고 동료가 늘어남에 따라 작은 마을에서 훌륭한 대국으로 발전해가는 건국 체험.
건축물에 따라 주민이 강화되는 「템페스트 레저넌스」를 활용하기 위해 다양한 건축물을 지어 보자!
개중에는 리무루가 전생하기 전의 세계에서의 지식과 경험을 살린 현대 일본을 떠올리게 하는 건물들도 있다던데…?!

게다가 오리지널 서브 퀘스트를 50종류 이상 수록!
더 좋은 나라를 만들기 위해 리무루와 그 동료들이 주민들의 고민거리를 분주히 해결해 나가는 템페스트의 웃음과 눈물 가득한 일상을 즐기실 수 있습니다.","That Time I Got Reincarnated as a Slime ISEKAI Chronicles,전생했더니 슬라임이었던 건에 대하여 템페스트 스토리즈",Bandai Namco Entertainment Inc.,https://image.api.playstation.com/vulcan/ap/rnd/202404/1709/92c7ada3ce554cbb73c1bc192d6e2cc3f6d83b3ef822c71e.jpg?w=1920,"롤플레잉 게임, 액션",playstation
Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,https://store.playstation.com/ko-kr/concept/10008801,2024-07-17,https://image.api.playstation.com/vulcan/ap/rnd/202404/0401/564f27d270b63695ac77e383730c201d09f822f23e9c8530.jpg?w=1920,"Korean Ver.

【예약 특전】
특별 교환권 3장

※'특별 교환권'은 게임 내의 보상과 교환할 수 있는 게임 아이템입니다.
※'예약 특전'은 발매 전날까지 예약하면 획득할 수 있습니다.


PS4® 다운로드 판과 PS5® 다운로드 판 양쪽을 다운로드할 수 있는 타이틀입니다.

【내용 상세】
애니메이션 '귀멸의 칼날'이 보드게임으로 등장!
오프라인 및 온라인으로 최대 4명이 모여 이벤트와 미니 게임을 즐기며 최강의 대원을 목표로 경쟁하라!

◆주사위를 던져 도전, 최강의 대원!
후지카사네 산이나 무한열차 등 애니메이션 '귀멸의 칼날' 이야기의 무대가 보드로 등장! 주사위를 던져 앞으로 나아가자!
보드에는 낮과 밤의 시간대가 존재하며, 밤이 되면 혈귀가 출현한다.
낮에는 이벤트와 미니 게임을 진행하며 밤에 대비하고, 밤에는 혈귀를 탐색하고 퇴치하여 다른 플레이어보다 더 뛰어난 귀살 대원이 되는 것을 목표로 활약해 보자!

◆친숙한 캐릭터들을 조작하자!
탄지로, 젠이츠, 이노스케와 9명의 주 중에서 마음에 드는 캐릭터를 선택하여 플레이!
네즈코는 플레이어를 도와주는 서포트 캐릭터로 등장!

◆다양한 미니 게임!
4명이 대전하는 미니 게임부터, 2명씩 협력하여 대전하는 미니 게임까지, 다양한 종류의 미니 게임에 도전!
아카자 등의 혈귀와 싸우는 미니 게임에서는 4명이 협력하여 강력한 혈귀를 쓰러뜨리자!

【세트 구성】
-「귀멸의 칼날: 도전, 최강의 대원!」　본편 소프트웨어
-다운로드판 특전: 도장 4종 세트(카마도 탄지로/카마도 네즈코/아가츠마 젠이츠/하시비라 이노스케)

※'도장'은 게임 내에서 사용할 수 있는 커뮤니케이션 도구입니다.
※온라인 플레이를 이용하기 위해서는 PlayStation®Plus(유료)에 가입할 필요가 있습니다.
※온라인 기능을 이용하려면 최신 업데이트를 적용할 필요가 있습니다.
※'다운로드판 특전'은 영구 부여되는 특전입니다. 특전은 추후 별도 배포될 수도 있습니다.
※내용 및 사양은 예고 없이 일부 변경될 수 있습니다.
※PS4 판과 PS5 판의 저장 데이터, 트로피 공유는할 수 없습니다.","Demon Slayer -Kimetsu no Yaiba- Sweep the Board!,귀멸의 칼날: 도전, 최강의 대원!",SEGA CORPORATION,https://image.api.playstation.com/vulcan/ap/rnd/202404/0401/564f27d270b63695ac77e383730c201d09f822f23e9c8530.jpg?w=1920,파티,playstation
Flintlock: The Siege of Dawn,https://store.playstation.com/ko-kr/concept/10004425,2024-07-18,https://image.api.playstation.com/vulcan/ap/rnd/202404/1809/3b8e3b23a2f1ce621ec33509c4c981d5227d98d6d28c8cb2.jpg?w=1920,"Ashen의 제작자이자, 게임 스튜디오 A44가 인류의 미래를 위한 전투에서 신과 총이 충돌하는 폭발적인 소울라이트를 선사합니다.

그레이트 빌로우로 가는 문이 열렸고 신들과 죽음의 부대가 그 길을 나섭니다. 기안의 땅은 포위되었고, 던의 도시는 거의 파괴 직전의 상태에 놓여있었습니다. 연합군이 반격할 시간입니다. 신들을 물리치고 세상을 탈환하는 동안 복수와 화약, 마법을 받아들이고 사후세계로의 문을 닫는 에픽 여정을 시작하세요.

당신의 전투가 이제 시작됩니다.
모든. 신들을. 처치하세요.

고유한 챔피언십
연합군의 정예 부대원인 노르 바넥이 되어 비밀을 숨긴 여우 엔키와 함께 신들을 향한 복수의 퀘스트를 진행하세요. 플레이어들에게 세상에 대한 지식들을 공유하며 길을 안내해 줄 엔키의 도움으로 전투 스킬과 횡단 능력은 둘을 무시할 수 없는 듀오로 만드는 마법의 힘으로 가득 찰 것입니다.

폭발적인 소울라이트
플린트락은 소울라이크 장르의 요소를 유지하고 빠른 기동성을 불어넣어 역동적이고 폭발적인 전투를 만듭니다. 연속 콤보 수행과 함께 리드미컬한 전투에서 난투극, 화약 및 마법으로 치명적인 무도를 선보이세요. 노르의 화약 능력으로 수직적 환경을 활용하여 위쪽에서 적을 처치하거나 위험에서 빠르게 회복할 수 있습니다.

신들에 의해 상처받은 세상
복수심에 불타는 신들은 세상에 발을 내디뎠고, 이들은 혼란과 인류의 몰락을 초래할 의도를 가진 채 난동을 부립니다. 엔키의 마법과 포탈을 사용하여 하늘을 날아다니고 언데드 무리와 전투를 벌이며 기안의 황폐해진 대지를 횡단하세요. 신들과의 궁극적인 대결을 기대하며 새로운 장비를 발견하고 무기를 강화하며 장비를 업그레이드하세요.",Flintlock: The Siege of Dawn,Kepler Interactive Limited,https://image.api.playstation.com/vulcan/ap/rnd/202404/1809/3b8e3b23a2f1ce621ec33509c4c981d5227d98d6d28c8cb2.jpg?w=1920,"액션, 롤플레잉 게임, 어드벤처",playstation
Cat Quest III,https://store.playstation.com/ko-kr/concept/10007859,2024-08-08,https://image.api.playstation.com/vulcan/ap/rnd/202405/2209/7cff8cf53258df14eabbfd393062e88bf3638327ea1ff447.jpg?w=1920,"수상 기록에 빛나는 Cat Quest 시리즈의 세 번째 게임 타이틀, Cat Quest III에서 고양이 수염을 휘날리며 신나는 고양이 모험을 떠나보세요!

환상적인 해적 테마의 세계, 펄리비안을 배경을 펼쳐지는 2.5D 오픈 월드 액션 RPG 배경에서 사략선의 선장으로 플레이하세요. 펄리비안은 아주 먼 옛날 사라진 신비의 보물인 '북극성'을 찾는 해적 쥐들이 들끓는 다도해입니다. 신뢰할 수 있는 영혼의 단짝과 함께 사략선의 선장으로서 펄리비안 사이를 항해하세요! 그러나 조심하세요. 바다는 매우 위험한 곳이며, 당신을 끌어내리라는 해적왕의 명령을 받은 해적 쥐들의 폭동이 곧 일어날 테니까요...

고양이의 귀환
가장 귀엽고 사랑스러운 RPG 액션이 맹렬하고 재미있는 게임플레이로 가득한 다채로운 모험으로 돌아왔습니다! 다양한 던전과 생물들로 가득한 아름다운 새 세계를 깊이 탐험하고 좀 더 가까워진 공격 콤보와 무기 변환을 포함하여, 새롭게 수정된 전투 시스템으로 격렬한 전투에 입하세요. 싱글 플레이 또는 로컬 코옵으로 플레이 가능합니다!

펄리비안 항해
시리즈 역사상 처음으로, 나만의 배에 올라타 바다를 항해하고 전투를 벌이세요! 배에 올라타 바다를 탐험하고, 해안가에 큰 어려움 없이 정박하며, 멋진 해적 세계, 펄리비안 횡단하여 전리품 사냥을 떠나보세요! 나팔총과 같은 신규 무기, 흉포한 주문, 화려한 코스튬 등 엄청난 보물을 찾아보세요!

보물 X 표시
나만의 보물 찾기에 나서고, 자유롭게 완벽한 나만의 이야기를 만들어 보세요! 여유가 생긴다면, 펄리비안의 가장 깊은 곳을 탐험할 수도 있고, 기발한 캐릭터들에게 경의를 표하고, 캐릭터들의 탐험 동안 그들을 도와주세요! 무엇을 먼저 시도해 보든, 상관없답니다. 북극성의 미스터리는 멀리까지 퍼져 있습니다. 펄리비안의 수많은 비밀을 조사하고, 단서를 수집하고, 밝혀내는 것은 플레이어에게 달려 있습니다. 이 이야기는 플레이어가 스스로 만들어나가야 하니, 이제 닻을 올리고 여정을 떠나봅시다!",Cat Quest III,Kepler Interactive Limited,https://image.api.playstation.com/vulcan/ap/rnd/202405/2209/7cff8cf53258df14eabbfd393062e88bf3638327ea1ff447.jpg?w=1920,"롤플레잉 게임, 가족, 어드벤처",playstation
SteamWorld Heist II,https://store.playstation.com/ko-kr/concept/10010568,2024-08-09,https://image.api.playstation.com/vulcan/ap/rnd/202404/1513/1eaf51758f2ec84e44c20a2dfd9c9dd88e4e688712da37ba.jpg?w=1920,"파도 위에서는 모든 게 평탄하지는 않습니다. 물에서 위기가 넘실거리거든요! 알 수 없는 이유로 이 귀중한 자원은 치명적인 물질로 변해, 금속 팔다리와 기계 심장을 부식시킵니다.

Steamboat의 좌충우돌 선원들을 이끄는 Captain Leeway가 되어 Great Sea를 위협하는 수수께끼의 위험을 밝혀내 보세요.

조준
전투의 열기 속에서는 정밀함이 핵심입니다. 제대로 조준해 발사할 때마다 치명적인 정확성으로 총알이 튕겨 나가게 하세요. 승리를 위한 전략을 세울 때는 모든 움직임이 중요합니다. 주변 환경을 유리하게 활용해 표면에서 총알을 튕기면서 적을 제압하세요.

계획
선장인 당신의 손에 선원들의 운명이 달려 있습니다. 다양한 무기를 장착하고, 능력과 장비를 맞춤 설정하고, 풍성한 작업 시스템을 활용해 다가오는 모든 어려움을 극복하세요. 노련한 베테랑에서 열정 넘치는 신병까지, 선원들은 위험한 Great Sea를 헤쳐 나가기 위해 당신의 현명한 지도를 기다리고 있습니다.

약탈
돛을 펼치고 나아가 광대한 푸른 바다를 탐험하세요. 파도 너머 모험과 미스터리, 위험이 기다립니다... 실시간 해상 전투에 참가하고, 적 기지를 약탈하여 선원들을 강화해 줄 귀중한 전리품을 손에 넣으세요. 전투에서 승리한 후에는 활기찬 술집에서 휴식을 취하고, 장비와 선원을 업그레이드하고, 동료 봇과 새로운 동맹을 구축하세요.

특징
- 턴제 Steambot 전투에서 스릴 넘치는 자유 조준과 이리저리 총알이 튕겨나가는 만족스러운 게임플레이를 경험해 보세요. 총알이 튕기면서 만족스러운 결과를 낼 수 있도록 전략적으로 발사하세요.
- 실시간 해상 전투가 함께하는 광활한 세상을 탐험하며 Great Sea 위 다양한 도전에 몰입해 보세요.
- 풍부한 직업 시스템에 빠져들고, 플레이스타일에 맞게 선원을 맞춤 설정하세요. 150가지 이상의 총, 유틸리티 아이템, 함선 장비 중 선택할 수 있습니다.
- 손으로 직접 빚어낸 캐릭터와 환경에 다시 돌아온 음유시인 Steam Powered Giraffe의 매혹적인 사운드트랙과 노래가 더해져 만들어진 생동감 넘치는 세계에 흠뻑 빠져보세요. 마음에 깊이 스며드는 음악과 사운드가 며칠 동안이나 지울 수 없는 감동을 선사합니다.",SteamWorld Heist II,THUNDERFUL PUBLISHING,https://image.api.playstation.com/vulcan/ap/rnd/202404/1513/1eaf51758f2ec84e44c20a2dfd9c9dd88e4e688712da37ba.jpg?w=1920,"전략, 액션",playstation
Bō: Path of the Teal Lotus,https://store.playstation.com/ko-kr/concept/10008977,2024-07-18,https://image.api.playstation.com/vulcan/ap/rnd/202406/1207/bda6e92c62e5531c407d3a138f8f3376cacb9e06ab441b44.png?w=1920,"『보우:월하의 청연』은 일본 신화와 민담을 소재로 하였으며, 다채로운 손그림풍 세계가 배경이 되는 탐험형 2D 일본풍 액션 게임입니다.

플레이어는 작은 요괴 보우가 되어 다양한 요괴(요카이)들의 세상에 닥친 위기를 해결하기 위해 모험을 떠나게 됩니다.
보우가 지닌 신비한 지팡이와 여러 가지 액션으로 공중을 우아하게 날아다니며 세상 구석구석을 탐험하고, 강대한 요카이들과 대결을 벌이세요.

보우는 사명을 안은 채 기묘한 요카이들과 만나며 세계의 베일을 조금씩 벗겨나갑니다. 보우 앞에는 어떤 운명이 기다리고 있을까요?","Bō: Path of the Teal Lotus,보우:월하의 청연",Marvelous Inc.,https://image.api.playstation.com/vulcan/ap/rnd/202406/1207/bda6e92c62e5531c407d3a138f8f3376cacb9e06ab441b44.png?w=1920,액션,playstation
Cattie,https://store.playstation.com/ko-kr/concept/10011378,2024-08-07,https://image.api.playstation.com/vulcan/ap/rnd/202406/0911/4d845420ef6144a95106d11e5937de91d08ad89f9799207d.png?w=1920,"날렵한 고양이 Cattie가 되어 레트로 플랫포밍 액션을 시작하세요! 뛰고, 점프하고, 벽을 차고 튀어 오르고, 움츠리고, 적을 덮치고, 후려치면서 횡스크롤 픽셀 아트 스테이지를 탐험하세요. 80년대 장르 클래식 게임으로부터 영향을 받아 탄생한 Cattie는 미니멀한 흑백 스타일과 유려한 2D 애니메이션으로 제공됩니다.

향수를 자극하는 8비트 사운드트랙과 함께 100개의 레벨을 탐험하세요! 레벨이 올라갈수록 난이도가 올라가면서, 새로운 적과 스테이지 메카닉이 소개됩니다. 과연 당신은 Cattie를 도와 마지막까지 살아남을 수 있을까요?

특징:

• 날렵한 냥이가 되어 100개의 플랫포밍 스테이지를 탐험하세요!
• 고양이를 정확하게 조종하면서 뛰고, 점프하고, 벽 사이를 튀어 오르고, 움츠리고, 공격하세요.
• 가시 함정을 피하고 미로 같은 길에서 빠져나가세요!
• 작은 앞발로 적 박쥐, 해골, 뱀 등을 후려치세요.
• 레트로 스타일과 향수를 자극하는 8비트 사운드트랙을 즐기세요!",Cattie,eastasiasoft,https://image.api.playstation.com/vulcan/ap/rnd/202406/0911/4d845420ef6144a95106d11e5937de91d08ad89f9799207d.png?w=1920,"퍼즐, 가족, 액션",playstation
Gravitators,https://store.playstation.com/ko-kr/concept/10005433,2024-08-09,https://image.api.playstation.com/vulcan/ap/rnd/202406/2611/bb7bddd2af3c6db71569e653e9cf1e64945164bf61c2b744.png?w=1920,"복고풍의 챌린지, 스타일이 현대적인 진보, 미션 디자인과 만났습니다. 4가지 우주선을 조종해서 외계인 침략으로부터 인류를 구해야 하는 트윈 스틱 슈터, Gravitators를 경험하세요! 지구, 달, 소행성, 태양계 행성, 태양계 외부 행성, 먼 우주, 블랙홀로 여행하면서 다양한 미션을 수행하세요! 탐험하면서 숨겨진 목표와 보상을 잠금 해제하세요. 하지만 어떤 파워업이 미션에 도움이 될지 모르니까 조심하는 게 좋을 겁니다.

같은 장르의 유명 게임으로부터 영감을 받아 개발된 Gravitators는 무거운 물체를 연결한 채로 적 우주선과 싸우고 연료를 아끼면서 좁은 공간을 이동한다는 기본 원칙으로 진행되는 게임입니다. 당신이 조종하는 각각의 우주선은 저마다 다른 추진력, 회전, 전투 전략을 제공하며, 중력과 환경 요소는 우주선을 추락시키거나 미션을 실패로 이끌 수 있는 위협적인 요소입니다. 과연 당신은 미션을 성공적으로 완료할 수 있을까요?

특징

• 각기 다른 조종법과 무기를 보유한 4가지 Gravitator 우주선을 마스터하세요!
• 로우 폴리 스타일로 태양계와 은하계를 누비세요.
• 호위와 구출 임무부터 총공격 임무까지 다양한 미션을 수행하세요!
• 보상을 획득해서 30가지 파워업과 30가지 퍼크를 잠금 해제하세요.
• 미션 난이도는 언제든지 변경할 수 있습니다!",Gravitators,eastasiasoft,https://image.api.playstation.com/vulcan/ap/rnd/202406/2611/bb7bddd2af3c6db71569e653e9cf1e64945164bf61c2b744.png?w=1920,"슈팅, 액션",playstation
Nobody Wants to Die,https://store.playstation.com/ko-kr/concept/10003635,2024-07-17,https://image.api.playstation.com/vulcan/ap/rnd/202403/0116/3cdb6a0327fe9c526f933655fe472898c5d766b2c41dbb1f.jpg?w=1920,"시간이 모든 진실을 드러냅니다
누군가의 희생으로 죽지 않는 인생을 거머쥐는 2329년 디스토피아 세계 속 뉴욕으로 여러분을 초대합니다. 죽음의 문턱까지 다녀온 경험을 한 제임스 카라 형사는 서장이 부탁한 비공식 사건 속으로 발을 들이게 됩니다. 유일한 아군은 젊은 경찰 연락관 사라 카이 뿐입니다. 모든 위험을 무릅쓰고 살인범을 쫓는 동안, 시간 속에 감춰진 도시 지배층의 어두운 진실이 서서히 드러나기 시작합니다.

특징
• 2329년 뉴욕으로 여러분을 초대합니다 - 2329년 뉴욕시를 배경으로 펼쳐지는 누아르 분위기 속 모험을 체험하세요. 이곳은 인간의 의식을 기억 은행에 저장하고, 다른 신체로 바꿔 영생을 누릴 수 있는 기술을 제공합니다. 물론, 신체를 구독할 비용을 감당할 수 있다면 말입니다.

• 수사를 진행하세요 - 사망 관리국 형사 제임스 카라의 시선을 통해 도시 지배층을 노리는 연쇄살인범을 추적하세요. 시간을 조작할 수 있는 증강 현실 및 다양한 첨단 기술을 사용해 범죄 현장을 재구성하고 조사하여 끔찍한 살인 속 진실을 밝혀내세요.

• 누아르 세계에 빠져보세요 - 트랜스 휴머니즘과 영생이 지닌 위험성을 고찰하는 심오하고 독창적이며, 상호작용을 기반으로 진행하는 한 형사의 이야기를 진행하며 디스토피아 세계에 흠뻑 취해 보세요. 영생을 통해 도덕성이 사라져가는 세계, 죽음이 추억처럼 변해버린 사회 속에서 냉정한 형사가 되어 무엇이 옳고 그른지 판단하세요.

• 놀라운 내러티브 어드벤처 - Unreal Engine 5의 놀라운 기술력으로, Nobody Wants to Die는 사실적인 그래픽과 명확하고 독특한 서사를 결합하여 스토리텔링의 한계를 뛰어넘을 것입니다.",Nobody Wants to Die,PLAION,https://image.api.playstation.com/vulcan/ap/rnd/202403/0116/3cdb6a0327fe9c526f933655fe472898c5d766b2c41dbb1f.jpg?w=1920,어드벤처,playstation
Princess Maker 2 Regeneration,https://store.playstation.com/ko-kr/concept/10007903,2024-08-08,https://image.api.playstation.com/vulcan/ap/rnd/202406/1909/7c492b7008deaf613f9558a40e37c740aed3b7ab5a8babf5.jpg?w=1920,"""프린세스 메이커 2"" 30주년 기념작품
""프린세스 메이커""는 아버지가 되어 딸을 키우는 육성 시뮬레이션 장르를 확립한 타이틀로, 지금도 인기를 유지하고 있습니다.
그 중에서도 ""프린세스 메이커 2""는 가장 인기 있는 타이틀로, 1993년 발매된 첫 """"프린세스 메이커 2""""(PC-9801판)가 30주년을 맞이합니다.
기념으로 제작된 이번 작품에서는 가이낙스에서 """"프린세스 메이커"""" 시리즈의 제작을 지휘하고, 캐릭터 디자인에도 참여한 아카이 타카미 씨가 그래픽을 새로 다듬었습니다.


프린세스 메이커 2 소개
""프린세스 메이커 2""는, 별에서 온 딸의 아버지가 되는 시뮬레이션 타입 육성 게임입니다.
육성 기간은 10세부터 18세까지 8년. 그대의 딸은 게임 속에서 여러 경험을 쌓아 어른이 되어갑니다. 소녀의 꿈은 프린세스가 되는 것이지만, 육성 방법에 따라 천차만별로 다른 미래가 기다립니다. 자, 그대는 이 소녀와 어떤 꿈을 그리시겠습니까...?

그래픽 개선 소개
이 작품은 2004년 발매된 """"프린세스 메이커 2 리파인""""이 기본이나, 특히 중요한 그래픽은 아카이 타카미 씨가 원본 PC-98판에 가까운 느낌으로 다시 그렸습니다. 또한, 현대 게임 환경에 맞추어 고해상도로 작업하여, 더욱 섬세하면서도 장인 정신을 담은 퀄리티입니다.

오프닝 애니메이션 추가
요나고 가이낙스가 제작한 오프닝 애니메이션이 추가되었습니다. 아카이 타카미 씨가 이끄는 팀이 만든 애니메이션으로 새로운 """"아버지""""가 되는 플레이어가 """"딸""""과의 미래를 느낄 수 있습니다.

딸의 상태를 파악하는 것이 육성의 첫걸음
이 작품은 육성 시뮬레이션이기에 딸의 상태를 항상 파악하여 육성에 활용하는 것이 중요합니다.
그래서 """"리제네레이션""""에서는 딸의 상태를 파악하기 위한 패러미터를 항상 표시하여 한눈에 딸의 상태를 확인할 수 있습니다. 딸의 미래를 위해 무엇을 해야 하는지 확인하고, 똑 부러지게 키워 봅시다.

아카이 타카미 씨의 인사
30년 전에 태어난 """"프린세스 메이커 2""""가 지금까지도 많은 분께 사랑받고 새로운 버전이 발매되어 진심으로 감사드립니다. 이번에는 전부터 꼭 하고 싶었던 그래픽 리뉴얼이 현실이 되었습니다! 새로 그린 바캉스와 엔딩을 즐기셨으면 합니다.","Princess Maker 2 Regeneration,프린세스 메이커 2 리제네레이션",Bliss Brain Corporation,https://image.api.playstation.com/vulcan/ap/rnd/202406/1909/7c492b7008deaf613f9558a40e37c740aed3b7ab5a8babf5.jpg?w=1920,시뮬레이션,playstation
